serial	tag_date	fpc	domain	datetime	channel	tag	tag_freq	origin	orgin_desc	created_at	updated_at
NULL	2021-12-17	e1a55ab802d22056e6959601e18fc93b-_KX88RAJJIHW9I	NULL	2021-12-16 08:48:07	web	精選事件-我要投保	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	ed744a8b65b071d40c38ddcbd79ab2c9-_KX8WIYPC8G640	NULL	2021-12-16 19:51:35	web	精選事件	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:58	web	基本款	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:48	web	未來事件交易所	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:44	web	汽車險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:44	web	超額保障方案	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:58	web	超額保障方案-基本款-右方	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f0a0a7a67d1616a03578366d54413130-_KX8WQHKI543LX	NULL	2021-12-16 19:57:48	web	首頁banner	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f29023ea8ae70e53f35ec9de2f62fcda-_KX8MCWXD5RD6J	NULL	2021-12-16 15:06:41	web	懸浮	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f29023ea8ae70e53f35ec9de2f62fcda-_KX8MCWXD5RD6J	NULL	2021-12-16 15:06:25	web	歷史事件	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	f539a39cf162cc08e297396491c53c6e-_KQHMF5A4N4UPW	NULL	2021-12-16 13:09:32	web	會員專區	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
